CROWN IMPORTS,201333.6199646
ANHEUSER BUSCH INC,159442.660310224
MILLER BREWING COMPANY,139908.830410004
HEINEKEN USA,103198.199732818
DIAGEO NORTH AMERICA INC,47895.0501505956
BOSTON BEER CORPORATION,44512.0300366208
E & J GALLO WINERY,42441.1499919444
CONSTELLATION BRANDS,30591.7399144992
FLYING DOG BREWERY LLLP,21041.5000707731
JIM BEAM BRANDS CO,20243.7400077879
